Course Code,Division,AA,AB,AP,AU,BB,BC,CC,CD,DD,FF,FR,II,NP,PP,Total
CE 680,Main,2.0,5.0,,1.0,,2.0,2.0,,,,,,,,12
CE 681,Main,13.0,10.0,,,,,,,,,,,,,23
CE 694,Main,3.0,14.0,,,4.0,1.0,,,,,1.0,3.0,,,26
CE 695,Main,3.0,1.0,,,,,,,,,,,,,4
CE 701,Main,,1.0,,,4.0,2.0,1.0,,,,1.0,,,,9
CE 702,Main,1.0,4.0,,,5.0,4.0,1.0,,,,,,,,15
CE 703,Main,5.0,1.0,,,2.0,,,,,,,,,,8
CE 706,Main,1.0,4.0,,,3.0,,,,,,,,,,8
CE 712,Main,1.0,24.0,,,41.0,41.0,36.0,12.0,5.0,,8.0,,,,168
CE 713,Main,4.0,7.0,,,7.0,3.0,2.0,3.0,2.0,,,,,,28
CE 717,Main,9.0,13.0,,2.0,7.0,2.0,5.0,,,,,1.0,,,39
CE 718,Main,2.0,14.0,,1.0,6.0,,,,,,,,,,23
CE 720,Main,5.0,5.0,,,3.0,1.0,1.0,,,,,,,,15
CE 725,Main,25.0,37.0,2.0,5.0,32.0,35.0,13.0,7.0,2.0,,4.0,8.0,,,170
CE 727,Main,3.0,5.0,,,5.0,8.0,1.0,1.0,,,,2.0,,,25
CE 731,Main,1.0,4.0,,,3.0,4.0,3.0,2.0,,,,,,,17
CE 740,Main,5.0,11.0,,,9.0,1.0,,4.0,3.0,,2.0,,,,35
CE 742,Main,18.0,24.0,2.0,,21.0,14.0,6.0,2.0,,,,3.0,,,90
CE 751,Main,9.0,38.0,1.0,,34.0,24.0,11.0,6.0,2.0,1.0,,2.0,,,128
CE 755,Main,1.0,4.0,,,2.0,2.0,,,1.0,,,1.0,,,11
CE 768,Main,,,,,,1.0,,,,,,,,,1
CE 769,Main,4.0,10.0,,,8.0,6.0,3.0,,,1.0,,,,,32
CE 771,Main,10.0,14.0,,1.0,9.0,8.0,2.0,,,,1.0,,,,45
CE 781,Main,1.0,1.0,,,3.0,6.0,4.0,2.0,,,,,,,17
CE 782,Main,,2.0,,,2.0,4.0,6.0,3.0,2.0,,,,,,19
CE 899,Main,,,,,,,,,,,,,,98.0,98
CES801,Main,14.0,23.0,,,5.0,1.0,,,,,,,,,43
